ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,holidays,holidays_lower,holidays_upper,lockdown_1,lockdown_1_lower,lockdown_1_upper,lockdown_2,lockdown_2_lower,lockdown_2_upper,lockdown_3,lockdown_3_lower,lockdown_3_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yearly,yearly_lower,yearly_upper,additive_terms,additive_terms_lower,additive_terms_upper,yhat
2014-11-30,165427.7145699256,108675.03505855141,198566.6629286304,165427.7145699256,165427.7145699256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0705941581249077,-0.0705941581249077,-0.0705941581249077,-0.0705941581249077,-0.0705941581249077,-0.0705941581249077,0.0,0.0,0.0,153749.48432933417
2014-12-31,166281.6057282674,100700.65965344652,198551.16374724847,166281.6057282674,166281.6057282674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.09620931490728073,-0.09620931490728073,-0.09620931490728073,-0.09620931490728073,-0.09620931490728073,-0.09620931490728073,0.0,0.0,0.0,150283.76635946822
2015-01-31,167135.49688660924,113549.48767796915,208133.6876187942,167135.49688660924,167135.49688660924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.04221124810659311,-0.04221124810659311,-0.04221124810659311,-0.04221124810659311,-0.04221124810659311,-0.04221124810659311,0.0,0.0,0.0,160080.49896010984
2015-02-28,167906.75341672444,116702.79529490526,213305.6484111374,167906.75341672444,167906.75341672444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.028157471376521512,-0.028157471376521512,-0.028157471376521512,-0.028157471376521512,-0.028157471376521512,-0.028157471376521512,0.0,0.0,0.0,163178.92381346837
2015-03-31,168760.64457506625,135028.14495420663,224776.85099250425,168760.64457506625,168760.64457506625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07128384971886845,0.07128384971886845,0.07128384971886845,0.07128384971886845,0.07128384971886845,0.07128384971886845,0.0,0.0,0.0,180790.55300141464
2015-04-30,169586.99087176836,128863.45782055467,220785.16206762652,169586.99087176836,169586.99087176836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03734898109229904,0.03734898109229904,0.03734898109229904,0.03734898109229904,0.03734898109229904,0.03734898109229904,0.0,0.0,0.0,175920.89218733794
2015-05-31,170440.88204502722,118464.71571199824,215673.5547301333,170440.88204502722,170440.88204502722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02796344054346021,-0.02796344054346021,-0.02796344054346021,-0.02796344054346021,-0.02796344054346021,-0.02796344054346021,0.0,0.0,0.0,165674.7685737862
2015-06-30,171267.22834172932,137489.7186290677,234713.7741852191,171267.22834172932,171267.22834172932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07262012047232058,0.07262012047232058,0.07262012047232058,0.07262012047232058,0.07262012047232058,0.07262012047232058,0.0,0.0,0.0,183704.67509686615
2015-07-31,172121.119515929,135977.52987980592,229192.21073852602,172121.119515929,172121.119515929,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.045131737897497554,0.045131737897497554,0.045131737897497554,0.045131737897497554,0.045131737897497554,0.045131737897497554,0.0,0.0,0.0,179889.24476854576
2015-08-31,172975.01069012872,112668.09015263754,203880.3139445679,172975.01069012872,172975.01069012872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.09085500299519797,-0.09085500299519797,-0.09085500299519797,-0.09085500299519797,-0.09085500299519797,-0.09085500299519797,0.0,0.0,0.0,157259.36557578266
