date_mvt,nb_sales,total_revenues
2014-09-30 00:00:00.000000 UTC,12,259.01
2014-10-01 00:00:00.000000 UTC,314,8058.9599999999991
2014-10-02 00:00:00.000000 UTC,205,5627.8300000000008
2014-10-03 00:00:00.000000 UTC,7531,98594.310000000216
2014-10-04 00:00:00.000000 UTC,144,3850.1
2014-10-06 00:00:00.000000 UTC,280,6161.14
2014-10-07 00:00:00.000000 UTC,296,6306.0599999999995
2014-10-08 00:00:00.000000 UTC,246,7852.45
2014-10-09 00:00:00.000000 UTC,253,8172.119999999999
2014-10-10 00:00:00.000000 UTC,290,6672.04
2014-10-11 00:00:00.000000 UTC,95,2241.17
2014-10-13 00:00:00.000000 UTC,90,2470.23
2014-10-14 00:00:00.000000 UTC,189,5521.1799999999994
2014-10-15 00:00:00.000000 UTC,735,23154.809999999998
2014-10-16 00:00:00.000000 UTC,304,10407.449999999999
2014-10-17 00:00:00.000000 UTC,222,7974.94
2014-10-18 00:00:00.000000 UTC,75,2515.7799999999997
2014-10-20 00:00:00.000000 UTC,193,4953.8200000000006
2014-10-21 00:00:00.000000 UTC,291,6327.32
2014-10-22 00:00:00.000000 UTC,278,9675.36
2014-10-23 00:00:00.000000 UTC,181,4981.8600000000006
2014-10-24 00:00:00.000000 UTC,236,8985.89
2014-10-25 00:00:00.000000 UTC,140,3541.07
2014-10-27 00:00:00.000000 UTC,351,7632.7100000000009
2014-10-28 00:00:00.000000 UTC,121,4466.2300000000005
2014-10-29 00:00:00.000000 UTC,136,3682.26
2014-10-30 00:00:00.000000 UTC,155,5125.4899999999989
2014-10-31 00:00:00.000000 UTC,150,5771.2599999999993
2014-11-01 00:00:00.000000 UTC,5,315.14000000000004
2014-11-03 00:00:00.000000 UTC,170,5123.7300000000014
2014-11-04 00:00:00.000000 UTC,160,6016.8900000000012
2014-11-05 00:00:00.000000 UTC,220,7081.6200000000008
2014-11-06 00:00:00.000000 UTC,205,6394.4800000000014
2014-11-07 00:00:00.000000 UTC,223,8072.8
2014-11-08 00:00:00.000000 UTC,109,2301.0999999999995
2014-11-10 00:00:00.000000 UTC,204,4467.34
2014-11-12 00:00:00.000000 UTC,169,4312.420000000001
2014-11-13 00:00:00.000000 UTC,275,9656.989999999998
2014-11-14 00:00:00.000000 UTC,198,5285.3600000000006
2014-11-15 00:00:00.000000 UTC,54,2101.34
2014-11-17 00:00:00.000000 UTC,172,4709.1399999999994
2014-11-18 00:00:00.000000 UTC,238,8365.54
2014-11-19 00:00:00.000000 UTC,157,5761.7
2014-11-20 00:00:00.000000 UTC,162,4938.1
2014-11-21 00:00:00.000000 UTC,211,6342.48
2014-11-22 00:00:00.000000 UTC,91,1549.1299999999999
2014-11-24 00:00:00.000000 UTC,186,5605.7999999999993
2014-11-25 00:00:00.000000 UTC,364,12619.43
2014-11-26 00:00:00.000000 UTC,126,4549.67
2014-11-27 00:00:00.000000 UTC,237,8862.8200000000015
2014-11-28 00:00:00.000000 UTC,261,11583.760000000002
2014-11-29 00:00:00.000000 UTC,90,10781.34
2014-12-01 00:00:00.000000 UTC,123,4345.07
2014-12-02 00:00:00.000000 UTC,329,10022.5
2014-12-03 00:00:00.000000 UTC,172,5235.74
2014-12-04 00:00:00.000000 UTC,163,5646.0599999999986
2014-12-05 00:00:00.000000 UTC,365,9415.75
2014-12-06 00:00:00.000000 UTC,45,1801.83
2014-12-08 00:00:00.000000 UTC,212,6192.8
2014-12-09 00:00:00.000000 UTC,171,6558.19
2014-12-10 00:00:00.000000 UTC,294,9185.19
2014-12-11 00:00:00.000000 UTC,306,10470.939999999995
2014-12-12 00:00:00.000000 UTC,100,3275.57
2014-12-13 00:00:00.000000 UTC,98,2306.83
2014-12-15 00:00:00.000000 UTC,172,5064.62
2014-12-16 00:00:00.000000 UTC,214,7978.52
2014-12-17 00:00:00.000000 UTC,142,7769.49
2014-12-18 00:00:00.000000 UTC,276,8882.5399999999991
2014-12-19 00:00:00.000000 UTC,116,4597.88
2014-12-20 00:00:00.000000 UTC,56,2035.0299999999997
2014-12-22 00:00:00.000000 UTC,351,9434.4100000000017
2014-12-23 00:00:00.000000 UTC,209,4858.4
2014-12-24 00:00:00.000000 UTC,89,3335.6185714285693
2014-12-26 00:00:00.000000 UTC,24,589.16000000000008
2014-12-29 00:00:00.000000 UTC,209,5357.3400000000011
2014-12-30 00:00:00.000000 UTC,111,3875.8500000000004
2014-12-31 00:00:00.000000 UTC,202,8360.3300000000017
2015-01-02 00:00:00.000000 UTC,7,165.17
2015-01-05 00:00:00.000000 UTC,136,3761.4
2015-01-06 00:00:00.000000 UTC,394,11102.01
2015-01-07 00:00:00.000000 UTC,148,5589.0599999999995
2015-01-08 00:00:00.000000 UTC,219,4969.8600000000006
2015-01-09 00:00:00.000000 UTC,230,5517.8
2015-01-10 00:00:00.000000 UTC,178,2750.0600000000004
2015-01-12 00:00:00.000000 UTC,298,9508.880000000001
2015-01-13 00:00:00.000000 UTC,218,9460.8499999999985
2015-01-14 00:00:00.000000 UTC,154,4336.9600000000009
2015-01-15 00:00:00.000000 UTC,172,9555.36
2015-01-16 00:00:00.000000 UTC,216,5927.24
2015-01-17 00:00:00.000000 UTC,77,1784.79
2015-01-19 00:00:00.000000 UTC,191,8068.5700000000006
2015-01-20 00:00:00.000000 UTC,165,6174.28
2015-01-21 00:00:00.000000 UTC,137,3112.71
2015-01-22 00:00:00.000000 UTC,260,7059.02
2015-01-23 00:00:00.000000 UTC,115,3303.3999999999996
2015-01-24 00:00:00.000000 UTC,54,1386.61
2015-01-26 00:00:00.000000 UTC,170,4762.4699999999993
2015-01-27 00:00:00.000000 UTC,315,3836.6400000000012
2015-01-28 00:00:00.000000 UTC,158,4919.5599999999995
2015-01-29 00:00:00.000000 UTC,206,5065.0700000000006
2015-01-30 00:00:00.000000 UTC,167,5862.9299999999994
2015-01-31 00:00:00.000000 UTC,49,1415.73
2015-02-02 00:00:00.000000 UTC,206,2797.6700000000005
2015-02-03 00:00:00.000000 UTC,156,4522.71
2015-02-04 00:00:00.000000 UTC,245,7587.1799999999994
2015-02-05 00:00:00.000000 UTC,241,6958.4
2015-02-06 00:00:00.000000 UTC,280,9347.0799999999981
2015-02-07 00:00:00.000000 UTC,52,1313.83
2015-02-09 00:00:00.000000 UTC,550,13817.120000000003
2015-02-10 00:00:00.000000 UTC,232,6383.079999999999
2015-02-11 00:00:00.000000 UTC,200,8869.64
2015-02-12 00:00:00.000000 UTC,186,5026.73
2015-02-13 00:00:00.000000 UTC,191,5465.2900000000018
2015-02-14 00:00:00.000000 UTC,56,1679.18
2015-02-16 00:00:00.000000 UTC,184,6486.0
2015-02-17 00:00:00.000000 UTC,179,4998.4900000000007
2015-02-18 00:00:00.000000 UTC,238,6144.39
2015-02-19 00:00:00.000000 UTC,953,15761.349999999999
2015-02-20 00:00:00.000000 UTC,147,4732.68
2015-02-21 00:00:00.000000 UTC,70,1638.93
2015-02-23 00:00:00.000000 UTC,135,3726.5899999999997
2015-02-24 00:00:00.000000 UTC,221,6868.9099999999989
2015-02-25 00:00:00.000000 UTC,283,9019.8200000000015
2015-02-26 00:00:00.000000 UTC,225,4627.3
2015-02-27 00:00:00.000000 UTC,235,6079.3400000000011
2015-02-28 00:00:00.000000 UTC,93,2429.2700000000004
2015-03-02 00:00:00.000000 UTC,173,7735.92
2015-03-03 00:00:00.000000 UTC,273,9005.26
2015-03-04 00:00:00.000000 UTC,293,7732.58
2015-03-05 00:00:00.000000 UTC,210,6188.6500000000005
2015-03-06 00:00:00.000000 UTC,158,4263.1900000000005
2015-03-07 00:00:00.000000 UTC,35,1299.19
2015-03-09 00:00:00.000000 UTC,182,6911.9100000000008
2015-03-10 00:00:00.000000 UTC,260,7623.6500000000005
2015-03-11 00:00:00.000000 UTC,326,9580.89
2015-03-12 00:00:00.000000 UTC,240,6202.7899999999991
2015-03-13 00:00:00.000000 UTC,276,19166.609999999997
2015-03-14 00:00:00.000000 UTC,177,3065.9900000000002
2015-03-16 00:00:00.000000 UTC,200,7170.8099999999995
2015-03-17 00:00:00.000000 UTC,355,11064.94
2015-03-18 00:00:00.000000 UTC,244,7651.16
2015-03-19 00:00:00.000000 UTC,216,5709.2100000000009
2015-03-20 00:00:00.000000 UTC,168,5234.329999999999
2015-03-21 00:00:00.000000 UTC,147,8501.49
2015-03-23 00:00:00.000000 UTC,203,6795.4400000000005
2015-03-24 00:00:00.000000 UTC,224,6838.0
2015-03-25 00:00:00.000000 UTC,148,4804.47
2015-03-26 00:00:00.000000 UTC,252,9234.7100000000009
2015-03-27 00:00:00.000000 UTC,145,3658.7999999999993
2015-03-28 00:00:00.000000 UTC,105,3878.81
2015-03-30 00:00:00.000000 UTC,276,8229.5600000000013
2015-03-31 00:00:00.000000 UTC,119,3173.1499999999996
2015-04-01 00:00:00.000000 UTC,119,3652.4999999999995
2015-04-02 00:00:00.000000 UTC,174,6496.6900000000005
2015-04-03 00:00:00.000000 UTC,143,4719.28
2015-04-04 00:00:00.000000 UTC,103,3775.0899999999997
2015-04-07 00:00:00.000000 UTC,238,7715.7699999999986
2015-04-08 00:00:00.000000 UTC,222,7149.9100000000008
2015-04-09 00:00:00.000000 UTC,232,6589.8
2015-04-10 00:00:00.000000 UTC,230,6696.98
2015-04-11 00:00:00.000000 UTC,108,3317.36
2015-04-13 00:00:00.000000 UTC,137,3818.3100000000004
2015-04-14 00:00:00.000000 UTC,192,4780.84
2015-04-15 00:00:00.000000 UTC,292,7170.369999999999
2015-04-16 00:00:00.000000 UTC,171,3820.5300000000007
2015-04-17 00:00:00.000000 UTC,225,6492.6
2015-04-18 00:00:00.000000 UTC,76,1453.2500000000002
2015-04-20 00:00:00.000000 UTC,153,3853.0399999999995
2015-04-21 00:00:00.000000 UTC,211,6998.5499999999993
2015-04-22 00:00:00.000000 UTC,244,7533.67
2015-04-23 00:00:00.000000 UTC,306,8505.11
2015-04-24 00:00:00.000000 UTC,161,3919.71
2015-04-25 00:00:00.000000 UTC,57,1686.72
2015-04-27 00:00:00.000000 UTC,190,4336.97
2015-04-28 00:00:00.000000 UTC,180,7467.7199999999993
2015-04-29 00:00:00.000000 UTC,177,5574.0999999999985
2015-04-30 00:00:00.000000 UTC,218,10866.25
2015-05-02 00:00:00.000000 UTC,50,1131.71
2015-05-04 00:00:00.000000 UTC,258,9388.79
2015-05-05 00:00:00.000000 UTC,226,10124.390000000001
2015-05-06 00:00:00.000000 UTC,214,5265.52
2015-05-07 00:00:00.000000 UTC,241,7820.15
